f2h_entity_id,f2hname,f2h_price,f2h_weight
1628,"Yummy Seer Fish / Surmai / Vanjaram / Anjal Cutlets (Pack of 3, 140g to 160g)",135.0000,1.0000
1634,Backwater Vayambu (Small and Crunchy) (Whole),278.0000,0.5000
1636,Paral / Giant Danio,398.0000,0.5000
1637,Paral / Giant Danio - Whole,398.0000,0.5000
1638,Paral / Giant Danio - Whole Cleaned (may include head pieces) ,604.9600,0.5000
1653,Tender Chicken Malai Tikka (Halal Cut),199.0000,0.5000
1654,Tender Chicken Malai Tikka (Halal Cut) - 250gm Pack,199.0000,1.0000
1655,Kada Varaal / Lizard Fish - Curry Cut ,345.1000,0.5000
1662,Freshwater Anchovy / Kozhuva / Natholi,258.0000,0.5000
1664,Indian Mackerel / Ayala / Bangda (Large) - Curry Cut (includes head pieces),371.2800,0.5000
1680,Sword Fish - Cubes (250g pack),211.2500,1.0000
1681,Fresh Mahi Mahi Fish - Cubes (250g pack),278.8500,1.0000
1682,Premium Lamb - Boneless Curry Cut,858.0000,0.5000
1685,Cobia / Motha - Steaks 250g Pack,349.0000,1.0000
1687,Premium Goat - Boneless Curry Cut,878.0000,0.5000
1693,Large Catfish / Etta Koori - Steaks 500g Pack,264.1000,1.0000
1694,Premium Goat Kidney - Curry Cut 250g Pack,149.0000,1.0000
1704,Mix n Match Fish Combo (Small),199.0000,0.5000
1705,Mix n Match Fish Combo (Small) - Whole,238.0000,0.5000
1715,Freshwater Mullet / Kayal Kanni (Large),295.0000,0.5000
1716,Freshwater Mullet / Kayal Kanni (Large) - Whole,295.0000,5.0000
1717,Freshwater Mullet / Kayal Kanni (Large) - Whole Cleaned,415.9500,3.5000
1718,Freshwater Mullet / Kayal Kanni (Large) - Curry Cut (May include head pieces,418.9000,0.5000
1722,Mahi Mahi - Fillet 250g Pack,278.8500,1.0000
1723,Sail Fish / Ola Meen - Loin Cut 250g Pack,250.6000,1.0000
1733,Pabda / Pabda Catfish / পাবদা,698.0000,0.5000
1734,Pabda / Pabda catfish / পাবদা- Whole,698.0000,0.5000
1735,Pabda / Pabda catfish / পাবদা - Whole Cleaned,991.1600,0.5000
1741,Boal Fish / Attu Vaala / Malli - Curry Cut (May include head pieces),673.2600,0.5000
1751,Sail Fish / Ola Meen - Cubes 250g pack,196.9000,1.0000
1753,Sail Fish / Ola Meen - Fillet 250g Pack,250.6000,1.0000
1767,Garfish / Kola (Large) - Fillet 250g Pack,295.3500,1.0000
1768,Garfish / Kola (Large) - Steaks,608.6000,0.5000
1773,Premium Tender and Antibiotic Free Chicken - Curry Cut (Skinless),228.0000,0.5000
1774,Barracuda / Cheelavu (Small) - Curry Cut (May include head pieces),423.1600,0.5000
1792,Blue Swimming Crab - Whole,498.0000,0.5000
1793,Blue Swimming Crab - Cleaned With Minimal Shell,996.0000,0.5000
1805,"Fresh Prawns / Kucho Chingdi - Peeled, Cleaned but not deveined",498.0000,0.5000
1806,Marinated Small Prawns for deep fry (250g pack),174.0000,1.0000
1808,Marinated Large Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (500g Pack),269.5100,1.0000
1809,Marinated Medium Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (500g Pack),269.5100,1.0000
1810,Marinated  Fresh Indian Baasa / Pangasius fillets (250g pack),162.9200,1.0000
1815,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram (Large) - Marinated Cubes 250g,501.5000,1.0000
1829,Kerala Sardine / Naadan Mathi,158.0000,0.5000
1830,Kerala Sardine / Naadan Mathi - Whole,138.0000,0.5000
1831,Kerala Sardine / Naadan Mathi - Whole Cleaned (Small Fish Cleaning Charges Applicable),264.9600,0.5000
1832,Premium Goat - Biryani Cut ,590.0000,0.5000
1841,Fresh Indian Baasa / Pangasius - Boneless Fillet 250g Pack,126.0000,1.0000
1851,Tuna / Choora - Cubes 250g Pack,212.8500,1.0000
1881,Barracuda / Cheelavu (Large) - Marinated Steaks 250g (for Tawa Fry),208.6800,1.0000
